Major,Total,Employed_full_time_year_round,Unemployment_rate,Median
GENERAL AGRICULTURE,128148,74078,0.026147106,50000
AGRICULTURE PRODUCTION AND MANAGEMENT,95326,64240,0.028636059,54000
AGRICULTURAL ECONOMICS,33955,22810,0.030248324,63000
ANIMAL SCIENCES,103549,64937,0.0426789,46000
FOOD SCIENCE,24280,12722,0.049188446,62000
PLANT SCIENCE AND AGRONOMY,79409,51077,0.031790887,50000
SOIL SCIENCE,6586,4042,0.050867052,63000
MISCELLANEOUS AGRICULTURE,8549,5074,0.039230422,52000
ENVIRONMENTAL SCIENCE,106106,65238,0.051289827,52000
FORESTRY,69447,39613,0.042563329,58000
NATURAL RESOURCES MANAGEMENT,83188,50595,0.054341279,52000
ARCHITECTURE,294692,163020,0.085991129,63000
AREA ETHNIC AND CIVILIZATION STUDIES,103740,50530,0.067938959,46000
COMMUNICATIONS,987676,595739,0.064360314,50000
JOURNALISM,418104,235407,0.061916752,50000
MASS MEDIA,211213,125489,0.08300476,48000
ADVERTISING AND PUBLIC RELATIONS,186829,111552,0.067216257,50000
COMMUNICATION TECHNOLOGIES,62141,37261,0.085008669,50000
COMPUTER AND INFORMATION SYSTEMS,253782,189950,0.051891239,65000
COMPUTER PROGRAMMING AND DATA PROCESSING,29317,18747,0.090264217,60000
COMPUTER SCIENCE,783292,561052,0.049518657,78000
INFORMATION SCIENCES,77805,57604,0.052841063,68000
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,39362,28156,0.075045725,55000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,51771,35954,0.05869412,55000
COSMETOLOGY SERVICES AND CULINARY ARTS,42325,25780,0.0549407,40000
GENERAL EDUCATION,1438867,591863,0.043903517,43000
EDUCATIONAL ADMINISTRATION AND SUPERVISION,4037,2468,0,58000
SCHOOL STUDENT COUNSELING,2396,1093,0.101745936,41000
ELEMENTARY EDUCATION,1446701,501786,0.038359164,40000
MATHEMATICS TEACHER EDUCATION,68808,29494,0.032983017,43000
